Name,Image,tags
"Vivo Y50 (Iris Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 665 processor vivo y50 (iri blue, 128 gb)"
"Vivo Y50 (Pearl White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 665 processor vivo y50 (pearl white, 128 gb)"
"Realme 6 (Comet Blue, 128 GB)",https://rukminim1.flixcart.com/image/312/312/k7dnonk0/mobile/7/n/f/realme-6-rbs0605in-original-imafpmftxfvhbrm9.jpeg?q=70,"mediatek helio g90t processor realm 6 (comet blue, 128 gb)"
"Realme Narzo 10 (That Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g80 (12 nm) processor realm narzo 10 (that blue, 128 gb)"
"POCO M2 Pro (Out of the Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 720g processor poco m2 pro (out of the blue, 128 gb)"
"POCO M2 Pro (Green and Greener, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 720g processor poco m2 pro (green and greener, 128 gb)"
"POCO X2 (Atlantis Blue, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 730g processor poco x2 (atlanti blue, 64 gb)"
"Realme C15 (Power Blue, 32 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g35 processor realm c15 (power blue, 32 gb)"
"Motorola One Fusion+ (Moonlight White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 730g processor motorola one fusion+ (moonlight white, 128 gb)"
"Realme C15 (Power Blue, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g35 processor realm c15 (power blue, 64 gb)"
"Realme C15 (Power Silver, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g35 processor realm c15 (power silver, 64 gb)"
"POCO X2 (Phoenix Red, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 730g processor poco x2 (phoenix red, 128 gb)"
"OPPO F17 Pro (Matte Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio p95 processor oppo f17 pro (matt black, 128 gb)"
"Realme 6 (Comet White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g90t processor realm 6 (comet white, 128 gb)"
"POCO X2 (Phoenix Red, 256 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 730g processor poco x2 (phoenix red, 256 gb)"
"Realme 6i (Eclipse Black, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g90t processor realm 6i (eclips black, 64 gb)"
"Realme Narzo 10 (That White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g80 (12 nm) processor realm narzo 10 (that white, 128 gb)"
"POCO X2 (Phoenix Red, 256 GB)",https://rukminim1.flixcart.com/image/312/312/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hjssyrsha.jpeg?q=70,"qualcomm snapdragon 730g processor poco x2 (phoenix red, 256 gb)"
"Vivo S1 Pro (Mystic Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 665 processor vivo s1 pro (mystic black, 128 gb)"
"Vivo S1 Pro (Dreamy White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 665 processor vivo s1 pro (dreami white, 128 gb)"
"Vivo S1 Pro (Jazzy Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 665 processor vivo s1 pro (jazzi blue, 128 gb)"
"Realme 7 (Mist Blue, 128 GB)",https://rukminim1.flixcart.com/image/312/312/keiuxzk0/mobile/z/h/3/realme-7-rmx2151-original-imafv7fzhnxkmdhx.jpeg?q=70,"mediatek helio g95 processor realm 7 (mist blue, 128 gb)"
